Observation station,Year,Month,Day,Time [Local time],Monthly precipitation [mm]
Lahti Sopenkorpi,2020,6,1,03:00,94
Lahti Sopenkorpi,2020,7,1,03:00,105.3
Lahti Sopenkorpi,2020,8,1,03:00,78.6
Lahti Sopenkorpi,2020,9,1,03:00,56.9
Lahti Sopenkorpi,2020,10,1,03:00,77.6
Lahti Sopenkorpi,2020,11,1,02:00,63.8
Lahti Sopenkorpi,2020,12,1,02:00,46.9
Lahti Sopenkorpi,2021,1,1,02:00,60
Lahti Sopenkorpi,2021,2,1,02:00,32.5
Lahti Sopenkorpi,2021,3,1,02:00,40.8
Lahti Sopenkorpi,2021,4,1,03:00,36.7
Lahti Sopenkorpi,2021,5,1,03:00,81
Lahti Sopenkorpi,2021,6,1,03:00,27.1
Lahti Sopenkorpi,2021,7,1,03:00,34.1
Lahti Sopenkorpi,2021,8,1,03:00,134.8
Lahti Sopenkorpi,2021,9,1,03:00,36.8
Lahti Sopenkorpi,2021,10,1,03:00,80.9
Lahti Sopenkorpi,2021,11,1,02:00,39.7
Lahti Sopenkorpi,2021,12,1,02:00,25.8
Lahti Sopenkorpi,2022,1,1,02:00,66.5
Lahti Sopenkorpi,2022,2,1,02:00,83.8
Lahti Sopenkorpi,2022,3,1,02:00,20.5
Lahti Sopenkorpi,2022,4,1,03:00,46.2
Lahti Sopenkorpi,2022,5,1,03:00,42.5
Lahti Sopenkorpi,2022,6,1,03:00,40.7
Lahti Sopenkorpi,2022,7,1,03:00,39
Lahti Sopenkorpi,2022,8,1,03:00,27.4
Lahti Sopenkorpi,2022,9,1,03:00,29.5
Lahti Sopenkorpi,2022,10,1,03:00,47.8
Lahti Sopenkorpi,2022,11,1,02:00,37.8
Lahti Sopenkorpi,2022,12,1,02:00,68.3
Lahti Sopenkorpi,2023,1,1,02:00,66.8
Lahti Sopenkorpi,2023,2,1,02:00,25.6
Lahti Sopenkorpi,2023,3,1,02:00,59.8
Lahti Sopenkorpi,2023,4,1,03:00,14.4
Lahti Sopenkorpi,2023,5,1,03:00,34.3
Lahti Sopenkorpi,2023,6,1,03:00,18.4
Lahti Sopenkorpi,2023,7,1,03:00,74
Lahti Sopenkorpi,2023,8,1,03:00,87.7
Lahti Sopenkorpi,2023,9,1,03:00,44.9
Lahti Sopenkorpi,2023,10,1,03:00,98.1
Lahti Sopenkorpi,2023,11,1,02:00,50.2
Lahti Sopenkorpi,2023,12,1,02:00,40.4
Lahti Sopenkorpi,2024,1,1,02:00,30.1
Lahti Sopenkorpi,2024,2,1,02:00,65.9
Lahti Sopenkorpi,2024,3,1,02:00,33.7
